imdb_code,name,year,world_collection,int_collection,dom_collection,url
tt0449088,Pirates of the Caribbean: At World's End,2007,960996492,651576067.0,309420425.0,https://www.boxofficemojo.com/title/tt0449088/?ref_=bo_gr_ti
tt0373889,Harry Potter and the Order of the Phoenix,2007,942172396,649818982.0,292353413.0,https://www.boxofficemojo.com/title/tt0373889/?ref_=bo_gr_ti
tt0413300,Spider-Man 3,2007,894983373,558453070.0,336530303.0,https://www.boxofficemojo.com/title/tt0413300/?ref_=bo_gr_ti
tt0413267,Shrek the Third,2007,813367380,490647436.0,322719944.0,https://www.boxofficemojo.com/title/tt0413267/?ref_=bo_gr_ti
tt0418279,Transformers,2007,709709780,390463587.0,319246193.0,https://www.boxofficemojo.com/title/tt0418279/?ref_=bo_gr_ti
tt0382932,Ratatouille,2007,623726085,417280431.0,206445654.0,https://www.boxofficemojo.com/title/tt0382932/?ref_=bo_gr_ti
tt0480249,I Am Legend,2007,585410052,329017042.0,256393010.0,https://www.boxofficemojo.com/title/tt0480249/?ref_=bo_gr_ti
tt0462538,The Simpsons Movie,2007,536414293,353279279.0,183135014.0,https://www.boxofficemojo.com/title/tt0462538/?ref_=bo_gr_ti
tt0465234,National Treasure: Book of Secrets,2007,459242249,239278134.0,219964115.0,https://www.boxofficemojo.com/title/tt0465234/?ref_=bo_gr_ti
tt0416449,300,2006,456068181,245453242.0,210614939.0,https://www.boxofficemojo.com/title/tt0416449/?ref_=bo_gr_ti
tt0440963,The Bourne Ultimatum,2007,444100035,216628965.0,227471070.0,https://www.boxofficemojo.com/title/tt0440963/?ref_=bo_gr_ti
tt0337978,Live Free or Die Hard,2007,388156011,253626608.0,134529403.0,https://www.boxofficemojo.com/title/tt0337978/?ref_=bo_gr_ti
tt0385752,The Golden Compass,2007,372234864,302127136.0,70107728.0,https://www.boxofficemojo.com/title/tt0385752/?ref_=bo_gr_ti
tt0952640,Alvin and the Chipmunks,2007,365352546,148025572.0,217326974.0,https://www.boxofficemojo.com/title/tt0952640/?ref_=bo_gr_ti
tt0461770,Enchanted,2007,340487836,212680574.0,127807262.0,https://www.boxofficemojo.com/title/tt0461770/?ref_=bo_gr_ti
tt0496806,Ocean's Thirteen,2007,311312624,194157900.0,117154724.0,https://www.boxofficemojo.com/title/tt0496806/?ref_=bo_gr_ti
tt0486576,Fantastic 4: Rise of the Silver Surfer,2007,301913131,169991393.0,131921738.0,https://www.boxofficemojo.com/title/tt0486576/?ref_=bo_gr_ti
tt0389790,Bee Movie,2007,293514336,166883059.0,126631277.0,https://www.boxofficemojo.com/title/tt0389790/?ref_=bo_gr_ti
tt0765429,American Gangster,2007,269755430,139590785.0,130164645.0,https://www.boxofficemojo.com/title/tt0765429/?ref_=bo_gr_ti
tt0293564,Rush Hour 3,2007,258097122,117971154.0,140125968.0,https://www.boxofficemojo.com/title/tt0293564/?ref_=bo_gr_ti
tt0486946,Wild Hogs,2007,253625427,85351877.0,168273550.0,https://www.boxofficemojo.com/title/tt0486946/?ref_=bo_gr_ti
tt0467406,Juno,2007,232372681,88877416.0,143495265.0,https://www.boxofficemojo.com/title/tt0467406/?ref_=bo_gr_ti
tt0453451,Mr. Bean's Holiday,2007,232225908,198923741.0,33302167.0,https://www.boxofficemojo.com/title/tt0453451/?ref_=bo_gr_ti
tt0259324,Ghost Rider,2007,228738393,112935797.0,115802596.0,https://www.boxofficemojo.com/title/tt0259324/?ref_=bo_gr_ti
tt0478311,Knocked Up,2007,219922417,71153500.0,148768917.0,https://www.boxofficemojo.com/title/tt0478311/?ref_=bo_gr_ti
tt0427327,Hairspray,2007,203553311,84681462.0,118871849.0,https://www.boxofficemojo.com/title/tt0427327/?ref_=bo_gr_ti
tt0442933,Beowulf,2007,196393745,114113166.0,82280579.0,https://www.boxofficemojo.com/title/tt0442933/?ref_=bo_gr_ti
tt0762107,I Now Pronounce You Chuck & Larry,2007,187134117,67074561.0,120059556.0,https://www.boxofficemojo.com/title/tt0762107/?ref_=bo_gr_ti
tt0448011,Knowing,2009,183658498,103700864.0,79957634.0,https://www.boxofficemojo.com/title/tt0448011/?ref_=bo_gr_ti
tt0825232,The Bucket List,2007,175372502,81906000.0,93466502.0,https://www.boxofficemojo.com/title/tt0825232/?ref_=bo_gr_ti
tt0413099,Evan Almighty,2007,174440724,73978426.0,100462298.0,https://www.boxofficemojo.com/title/tt0413099/?ref_=bo_gr_ti
tt0477348,No Country for Old Men,2007,171627166,97343541.0,74283625.0,https://www.boxofficemojo.com/title/tt0477348/?ref_=bo_gr_ti
tt0829482,Superbad,2007,170812526,49349300.0,121463226.0,https://www.boxofficemojo.com/title/tt0829482/?ref_=bo_gr_ti
tt0396555,Meet the Robinsons,2007,169333034,71510863.0,97822171.0,https://www.boxofficemojo.com/title/tt0396555/?ref_=bo_gr_ti
tt0477051,Norbit,2007,159814490,64140883.0,95673607.0,https://www.boxofficemojo.com/title/tt0477051/?ref_=bo_gr_ti
tt0431308,P.S. I Love You,2007,156835339,103139531.0,53695808.0,https://www.boxofficemojo.com/title/tt0431308/?ref_=bo_gr_ti
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,2007,153383627,100485554.0,52898073.0,https://www.boxofficemojo.com/title/tt0408236/?ref_=bo_gr_ti
tt0423294,Surf's Up,2007,152005713,93138019.0,58867694.0,https://www.boxofficemojo.com/title/tt0423294/?ref_=bo_gr_ti
tt0492956,The Game Plan,2007,147880543,57232341.0,90648202.0,https://www.boxofficemojo.com/title/tt0492956/?ref_=bo_gr_ti
tt0432021,Resident Evil: Extinction,2007,147717833,97069154.0,50648679.0,https://www.boxofficemojo.com/title/tt0432021/?ref_=bo_gr_ti
tt0758766,Music and Lyrics,2007,145896422,95323833.0,50572589.0,https://www.boxofficemojo.com/title/tt0758766/?ref_=bo_gr_ti
tt0445934,Blades of Glory,2007,145710347,27115799.0,118594548.0,https://www.boxofficemojo.com/title/tt0445934/?ref_=bo_gr_ti
tt0890870,Saw IV,2007,139352633,76052538.0,63300095.0,https://www.boxofficemojo.com/title/tt0890870/?ref_=bo_gr_ti
tt0398808,Bridge to Terabithia,2007,137587063,55314621.0,82272442.0,https://www.boxofficemojo.com/title/tt0398808/?ref_=bo_gr_ti
tt0486655,Stardust,2007,137515140,98880202.0,38634938.0,https://www.boxofficemojo.com/title/tt0486655/?ref_=bo_gr_ti
tt0450385,1408,2007,132963417,60977789.0,71985628.0,https://www.boxofficemojo.com/title/tt0450385/?ref_=bo_gr_ti
tt0783233,Atonement,2007,131016624,80089557.0,50927067.0,https://www.boxofficemojo.com/title/tt0783233/?ref_=bo_gr_ti
tt0758730,Aliens vs. Predator: Requiem,2007,130290885,88493819.0,41797066.0,https://www.boxofficemojo.com/title/tt0758730/?ref_=bo_gr_ti
tt0408839,The Heartbreak Kid,2007,128453183,91665926.0,36787257.0,https://www.boxofficemojo.com/title/tt0408839/?ref_=bo_gr_ti
tt0472062,Charlie Wilson's War,2007,119483446,52822351.0,66661095.0,https://www.boxofficemojo.com/title/tt0472062/?ref_=bo_gr_ti
tt0486822,Disturbia,2007,118114220,37904528.0,80209692.0,https://www.boxofficemojo.com/title/tt0486822/?ref_=bo_gr_ti
tt0393597,Earth,2007,108976456,76964880.0,32011576.0,https://www.boxofficemojo.com/title/tt0393597/?ref_=bo_gr_ti
tt0760329,The Water Horse,2007,103967384,63021129.0,40946255.0,https://www.boxofficemojo.com/title/tt0760329/?ref_=bo_gr_ti
tt0465494,Hitman,2007,101276318,61588624.0,39687694.0,https://www.boxofficemojo.com/title/tt0465494/?ref_=bo_gr_ti
tt0486583,Fred Claus,2007,97838349,25831572.0,72006777.0,https://www.boxofficemojo.com/title/tt0486583/?ref_=bo_gr_ti
tt0453556,TMNT,2007,95802916,41653818.0,54149098.0,https://www.boxofficemojo.com/title/tt0453556/?ref_=bo_gr_ti
tt0822854,Shooter,2007,95696996,48693414.0,47003582.0,https://www.boxofficemojo.com/title/tt0822854/?ref_=bo_gr_ti
tt0465538,Michael Clayton,2007,92991835,43957953.0,49033882.0,https://www.boxofficemojo.com/title/tt0465538/?ref_=bo_gr_ti
tt0481141,No Reservations,2007,92601050,49493071.0,43107979.0,https://www.boxofficemojo.com/title/tt0481141/?ref_=bo_gr_ti
tt0488120,Fracture,2007,92011561,52996543.0,39015018.0,https://www.boxofficemojo.com/title/tt0488120/?ref_=bo_gr_ti
tt0799949,Epic Movie,2007,87238158,47498791.0,39739367.0,https://www.boxofficemojo.com/title/tt0799949/?ref_=bo_gr_ti
tt0431197,The Kingdom,2007,87019158,39482380.0,47536778.0,https://www.boxofficemojo.com/title/tt0431197/?ref_=bo_gr_ti
tt0450188,La Vie En Rose,2007,86274793,75973087.0,10301706.0,https://www.boxofficemojo.com/title/tt0450188/?ref_=bo_gr_ti
tt0443706,Zodiac,2007,84785914,51705830.0,33080084.0,https://www.boxofficemojo.com/title/tt0443706/?ref_=bo_gr_ti
tt0477071,Premonition,2007,84297309,36444705.0,47852604.0,https://www.boxofficemojo.com/title/tt0477071/?ref_=bo_gr_ti
tt0367959,Hannibal Rising,2007,82169884,54498898.0,27670986.0,https://www.boxofficemojo.com/title/tt0367959/?ref_=bo_gr_ti
tt0960790,Rabbit Without Ears,2007,81744033,81744033.0,,https://www.boxofficemojo.com/title/tt0960790/?ref_=bo_gr_ti
tt0425112,Hot Fuzz,2007,80743363,57106098.0,23637265.0,https://www.boxofficemojo.com/title/tt0425112/?ref_=bo_gr_ti
tt0373883,Halloween,2007,80460948,22188919.0,58272029.0,https://www.boxofficemojo.com/title/tt0373883/?ref_=bo_gr_ti
tt0464141,The Orphanage,2007,78638987,71477703.0,7161284.0,https://www.boxofficemojo.com/title/tt0464141/?ref_=bo_gr_ti
tt0481369,The Number 23,2007,77677553,42484386.0,35193167.0,https://www.boxofficemojo.com/title/tt0481369/?ref_=bo_gr_ti
tt0435705,Next,2007,77621983,59410970.0,18211013.0,https://www.boxofficemojo.com/title/tt0435705/?ref_=bo_gr_ti
tt0469494,There Will Be Blood,2007,76181545,35959031.0,40222514.0,https://www.boxofficemojo.com/title/tt0469494/?ref_=bo_gr_ti
tt0997157,Hero,2007,76089199,76089199.0,,https://www.boxofficemojo.com/title/tt0997157/?ref_=bo_gr_ti
tt0414055,Elizabeth: The Golden Age,2007,75782758,59399249.0,16383509.0,https://www.boxofficemojo.com/title/tt0414055/?ref_=bo_gr_ti
tt0389722,30 Days of Night,2007,75513170,35944170.0,39569000.0,https://www.boxofficemojo.com/title/tt0389722/?ref_=bo_gr_ti
tt0775539,Stomp the Yard,2007,75511123,14154902.0,61356221.0,https://www.boxofficemojo.com/title/tt0775539/?ref_=bo_gr_ti
tt0372873,Dragon Wars: D-War,2007,75108817,64131096.0,10977721.0,https://www.boxofficemojo.com/title/tt0372873/?ref_=bo_gr_ti
tt0419887,The Kite Runner,2007,75011029,59210951.0,15800078.0,https://www.boxofficemojo.com/title/tt0419887/?ref_=bo_gr_ti
